,Car_ID,Year,Selling_Price,Present_Price,Miles_Driven,Fuel_Type,Seller_Type,Transmission,Owner
0,0,2014,4786,7986,16770.0,Petrol,Dealer,Manual,0
1,1,2013,6786,13629,26708.0,Diesel,Dealer,Manual,0
2,2,2017,10357,14071,4286.0,Petrol,Dealer,Manual,0
3,3,2011,4071,5929,3230.0,Petrol,Dealer,Manual,0
4,4,2014,6571,9814,26366.0,Diesel,Dealer,Manual,0
5,5,2018,13214,14043,1286.0,Diesel,Dealer,Manual,0
6,2,2015,9643,11600,11675.0,Petrol,Dealer,Manual,0
7,6,2015,9286,12300,20763.0,Diesel,Dealer,Manual,0
8,2,2016,12500,12700,12592.0,Diesel,Dealer,Manual,0
9,2,2015,10643,12743,26315.0,Diesel,Dealer,Manual,0
10,7,2017,4071,5143,1326.0,Petrol,Dealer,Manual,0
11,2,2015,9786,14829,31677.0,Diesel,Dealer,Manual,0
12,2,2015,10714,14200,9317.0,Petrol,Dealer,Automatic,0
13,8,2015,8714,11014,16149.0,Petrol,Dealer,Manual,0
14,9,2009,3214,10300,48091.0,Petrol,Dealer,Manual,0
15,8,2016,11071,15414,26708.0,Diesel,Dealer,Manual,0
16,8,2015,10357,15414,25887.0,Diesel,Dealer,Manual,0
17,8,2016,11071,15414,26708.0,Diesel,Dealer,Manual,0
18,3,2015,4643,7271,22050.0,CNG,Dealer,Manual,0
19,1,2010,3786,11400,25740.0,Petrol,Dealer,Manual,0
20,10,2016,4071,5643,15528.0,Petrol,Dealer,Manual,0
21,11,2017,7000,8157,1491.0,Petrol,Dealer,Manual,0
22,1,2011,6286,11443,31056.0,Petrol,Dealer,Automatic,0
23,10,2014,3571,4943,28124.0,Petrol,Dealer,Manual,0
24,3,2013,4143,6300,35329.0,Petrol,Dealer,Manual,0
25,4,2011,4286,7129,12422.0,Petrol,Dealer,Manual,0
26,4,2013,5929,8386,34247.0,Petrol,Dealer,Manual,0
27,4,2017,8571,9271,10062.0,Petrol,Individual,Manual,0
28,10,2010,2786,5643,27666.0,Petrol,Dealer,Manual,0
29,2,2015,10643,14829,27950.0,Diesel,Dealer,Manual,0
30,0,2012,4429,8543,31950.0,Diesel,Dealer,Manual,0
31,0,2011,3357,6986,33665.0,Petrol,Dealer,Manual,0
32,4,2014,7071,10700,24224.0,Diesel,Dealer,Manual,0
33,8,2014,8571,14214,27950.0,Diesel,Dealer,Manual,0
34,9,2014,7857,11514,27950.0,Diesel,Dealer,Manual,0
35,1,2011,4214,11057,31055.0,CNG,Dealer,Manual,0
36,9,2015,6643,10286,30290.0,Petrol,Dealer,Manual,0
37,12,2003,500,3257,78882.0,Petrol,Individual,Manual,0
38,10,2016,4286,5371,6260.0,Petrol,Dealer,Manual,0
39,1,2003,3214,11400,38509.0,Petrol,Dealer,Manual,0
